user_name,date,game_mode,kills,damage,survival_time_seconds,rescue,distance_traveled,skill_uses,preferred_skill,preferred_weapon_1,preferred_weapon_2,arsenal,accuracy,head_shot,earned_rank_xp,earned_xp,high_tier,win_loss,final_position,total_groups,relative_position
dayiszc,2024-04-20,Squad,3,839,929.0,0,4422,1,Rewind,M4,Bazzoca FHJ,1,0.257,0.0,55,12896,1,1,1,26,3.8461538461538463
dayiszc,2024-04-20,Squad,3,585,863.0,0,4147,4,Rewind,M4,Bazzoca FHJ,1,0.243,0.0,18,9563,0,0,6,26,23.076923076923077
dayiszc,2024-04-20,Single,9,1765,1164.0,0,4296,4,Rewind,M4,Bazzoca FHJ,1,0.361,0.111,76,13969,0,1,1,100,1.0
dayiszc,2024-04-21,Single,6,1250,1025.0,0,3512,2,Rewind,M4,Bazzoca FHJ,1,0.44799999999999995,0.0,57,13223,0,0,2,100,2.0
dayiszc,2024-04-22,Single,6,1365,833.0,0,3819,1,Rewind,M4,Bazzoca FHJ,0,0.297,0.16699999999999998,23,2356,0,0,16,100,16.0
dayiszc,2024-04-23,Single,0,57,93.0,0,1160,0,Rewind,M4,Bazzoca FHJ,0,0.0,0.0,-30,1023,1,0,100,100,100.0
katherineguti,2024-04-19,Squad,7,1774,1018.0,0,3840,4,Ravager Launcher,M4,Sniper M21,1,0.35,0.14300000000000002,43,9230,1,0,2,26,7.6923076923076925
katherineguti,2024-04-19,Squad,5,1912,863.0,1,3542,5,Ravager Launcher,M4,Sniper M21,1,0.35600000000000004,0.4,23,5202,0,0,6,26,23.076923076923077
soniacuro,2024-04-19,Squad,1,299,929.0,0,3470,7,Clown,AK117,Sniper Tundra,1,0.191,0.0,69,11056,1,1,1,26,3.8461538461538463
soniacuro,2024-04-19,Squad,2,645,863.0,0,2695,2,Clown,AK117,Sniper Tundra,1,0.8390000000000001,0.0,39,5369,0,0,6,26,23.076923076923077
soniacuro,2024-04-19,Squad,5,1435,1018.0,0,3581,7,Clown,AK117,Sniper Tundra,1,0.263,0.0,58,6512,1,0,2,26,7.6923076923076925
endergzlz,2024-04-21,Single,0,115,87.0,0,1282,1,Ninja,M4,Sniper DLQ,0,0.038,0.0,-4,2001,1,0,97,100,97.0
